cor_type,cor,concreteness
Patches and Hex Codes,0.1914652263405292,2.79
Patches and Hex Codes,0.0,2.59
Patches and Hex Codes,0.6492118345642185,1.53
Patches and Hex Codes,0.10573377394362009,1.83
Patches and Hex Codes,0.551766396911088,4.97
Patches and Hex Codes,0.40780227198888214,1.45
Patches and Hex Codes,0.4241365909780688,2.71
Patches and Hex Codes,0.41426905937655273,5.0
Patches and Hex Codes,0.5518202139873972,3.33
Patches and Hex Codes,0.5869387190727305,4.93
Patches and Hex Codes,0.578836196927737,2.37
Patches and Hex Codes,0.43584825465670113,3.48
Patches and Hex Codes,0.564950493910815,3.96
Patches and Hex Codes,0.49668494761975857,3.62
Patches and Hex Codes,0.7177273715832202,3.45
Patches and Hex Codes,0.3383356781328343,4.94
Patches and Hex Codes,0.5904152180031031,4.84
Patches and Hex Codes,0.6388528613944914,5.0
Patches and Hex Codes,0.7308259473081351,4.59
Patches and Hex Codes,0.714533523062909,2.15
Patches and Hex Codes,0.8227727979820779,2.2
Patches and Hex Codes,0.7148726761260448,2.03
Patches and Hex Codes,0.7797862768508296,5.0
Patches and Hex Codes,0.7007544045947142,2.89
Patches and Hex Codes,0.5726127196482802,4.79
Patches and Hex Codes,0.5096117006985701,4.91
Patches and Hex Codes,0.8184195062678657,4.89
Patches and Hex Codes,0.8507928016384538,2.19
Patches and Hex Codes,0.7457664086424872,5.0
Patches and Hex Codes,0.6615242531277991,4.92
Patches and Hex Codes,0.8106785305227496,4.86
Patches and Hex Codes,0.7070598912480903,4.97
Patches and Hex Codes,0.6656432462019222,1.62
Patches and Hex Codes,0.7910833139691148,4.23
Patches and Hex Codes,0.8019939430781523,1.93
Patches and Hex Codes,0.7610235663937532,2.67
Patches and Hex Codes,0.9255863249155283,4.54
Patches and Hex Codes,0.6679466435665614,4.93
Patches and Hex Codes,0.9136322395175746,3.92
Patches and Hex Codes,0.8342385768931105,5.0
Patches and Hex Codes,0.8403510498924674,4.83
Patches and Hex Codes,0.836062065376709,4.14
Patches and Hex Codes,0.8836817581966735,3.07
Patches and Hex Codes,0.9558167448955207,4.89
Patches and Hex Codes,0.8446566889641702,4.24
Patches and Hex Codes,0.9172707532416468,4.46
Patches and Hex Codes,0.8228562443761868,2.53
Patches and Hex Codes,0.912941405520818,4.79
Patches and Hex Codes,0.8698268660904666,2.56
Patches and Hex Codes,0.843351558894384,4.88
Patches and Hex Codes,0.9250101499807836,5.0
Patches and Hex Codes,0.7609117501500441,4.59
Patches and Hex Codes,0.9300836253999326,4.62
Patches and Hex Codes,0.8800856959327067,4.96
Patches and Hex Codes,0.8802037279161419,4.26
Patches and Hex Codes,0.8867873562291095,3.74
Patches and Hex Codes,0.9076779588548632,4.96
Patches and Hex Codes,0.8969977440550322,4.68
Patches and Hex Codes,0.945870177889045,5.0
Patches and Hex Codes,0.8997235759159776,4.52
Patches and Hex Codes,0.9436663864479076,5.0
Patches and Hex Codes,0.9350766958819788,5.0
Patches and Hex Codes,0.9434867959082494,4.8
Patches and Hex Codes,0.907340557968017,4.45
Patches and Hex Codes,0.9287861488157859,2.07
Patches and Hex Codes,0.9242822927526327,5.0
Patches and Hex Codes,0.8477353201514768,4.9
Patches and Hex Codes,0.9389612311947231,4.86
Patches and Hex Codes,0.934364617220474,4.96
Patches and Hex Codes,0.9326046629785182,4.63
Image Statistics Model,0.014176985224245896,2.79
Image Statistics Model,-0.1406056389483539,2.59
Image Statistics Model,0.32951262989541175,1.53
Image Statistics Model,0.561313842706822,1.83
Image Statistics Model,0.7269712518346443,4.97
Image Statistics Model,0.3938938554156344,1.45
Image Statistics Model,0.4558140938289814,2.71
Image Statistics Model,0.45304530081520744,5.0
Image Statistics Model,-0.011242462455278032,3.33
Image Statistics Model,0.6345588710936318,4.93
Image Statistics Model,0.46187412342608786,2.37
Image Statistics Model,0.7199598667697137,3.48
Image Statistics Model,-0.020315012562459468,3.96
Image Statistics Model,-0.3639675879814251,3.62
Image Statistics Model,0.08601840883388684,3.45
Image Statistics Model,0.7617693708442791,4.94
Image Statistics Model,0.5876465166679051,4.84
Image Statistics Model,0.45671759023951536,5.0
Image Statistics Model,-0.045137892130942124,4.59
Image Statistics Model,0.34421390651462164,2.15
Image Statistics Model,0.3612097699818292,2.2
Image Statistics Model,0.4184049590901532,2.03
Image Statistics Model,0.6425550263270916,5.0
Image Statistics Model,0.48262791104729014,2.89
Image Statistics Model,0.5201538419531214,4.79
Image Statistics Model,0.7258426967023971,4.91
Image Statistics Model,0.6729884535876514,4.89
Image Statistics Model,0.5197956035980812,2.19
Image Statistics Model,0.17312997480652934,5.0
Image Statistics Model,0.4972021908621743,4.92
Image Statistics Model,0.6596227133385196,4.86
Image Statistics Model,0.057775923726623574,4.97
Image Statistics Model,0.33106393124918404,1.62
Image Statistics Model,0.5427435435518762,4.23
Image Statistics Model,0.6723728036190533,1.93
Image Statistics Model,0.43127143784734906,2.67
Image Statistics Model,0.6902730004307858,4.54
Image Statistics Model,0.10989644440326124,4.93
Image Statistics Model,0.23555616823260522,3.92
Image Statistics Model,0.7594360855047089,5.0
Image Statistics Model,0.7152398100063857,4.83
Image Statistics Model,0.10832533648548089,4.14
Image Statistics Model,0.6165216886825815,3.07
Image Statistics Model,0.7062167601589376,4.89
Image Statistics Model,0.687631565087028,4.24
Image Statistics Model,0.5923935521868173,4.46
Image Statistics Model,0.638920843766078,2.53
Image Statistics Model,0.632729234085737,4.79
Image Statistics Model,-0.051176667801313025,2.56
Image Statistics Model,0.7233236886614789,4.88
Image Statistics Model,0.87240917760823,5.0
Image Statistics Model,0.655118687456107,4.59
Image Statistics Model,0.7853646992229011,4.62
Image Statistics Model,0.8044723213233413,4.96
Image Statistics Model,0.8050394629577455,4.26
Image Statistics Model,0.7689486609779643,3.74
Image Statistics Model,0.8523522919842706,4.96
Image Statistics Model,0.8217235647080028,4.68
Image Statistics Model,0.8770356036101157,5.0
Image Statistics Model,0.4809170383471329,4.52
Image Statistics Model,0.8865967584737853,5.0
Image Statistics Model,0.8553781534060309,5.0
Image Statistics Model,0.8945442079133757,4.8
Image Statistics Model,0.7755024280242654,4.45
Image Statistics Model,0.2799156558064377,2.07
Image Statistics Model,0.4220903344155847,5.0
Image Statistics Model,0.8941722438238189,4.9
Image Statistics Model,0.8072839564988465,4.86
Image Statistics Model,0.6634226538516814,4.96
Image Statistics Model,0.7997656463577916,4.63
