concept,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
above,0.17090759780978018,0.16925914464375838,0.16928808926052896,0.16911350418173976,0.1955174150403988,0.1860614071558083,0.21783731168946102,0.13848561323259567,0.1388539900336515,0.17324031358777178,0.18895779446922795,0.20375620102229092,0.20903516323616345,0.18970063064323808,0.1528851853573383,0.18792710608202842,0.1864612166964838,0.13820026978406139,0.1703426358230522,0.17450404536163927,0.1537150387516252,0.17993668744284702,0.18216241094608174,0.18013655506472925,0.17069260942409112,0.1930834360374313,0.20251180110945646,0.25698779404793337,0.3145250483065257,0.25476457851598255,0.18975929925565385,0.2039479073191304,0.18854533397051787,0.18197277987246274,0.1756687147399113,0.16486769062091763,0.16030207965794785,0.1749784529012969,0.19810353985477339,0.241341087,0.23349094486989655,0.22953158106824745,0.28667390298842405,0.28833720061617346,0.29900610017550944,0.20339244242890853,0.24609997518474996,0.23863067875203456,0.18753076549081862,0.1430018460370674,0.16036531853112437,0.15635585557706339,0.15180561294050232,0.1730323198458034,0.1676996544352221,0.16306470563378925,0.22515181410052673,0.21021171520140994,0.20026114215174948,0.23108716097543244,0.22145874253163084,0.2104289968830246,0.1433246632443927,0.149865418,0.15100594639345122,0.1510008176239846,0.17235933268702305,0.16910072168022164,0.17919817744424915,0.17396780360940792,0.19230823625558482
angry,0.16532266218614083,0.15825768403776924,0.15836544113375525,0.1515966111525926,0.17076847985343196,0.15783503115739095,0.15976011270687535,0.1560432790834251,0.15925187531042237,0.15781253928486635,0.16917723555117328,0.16659966785839905,0.18044655527824766,0.17353822411982095,0.14712259294968064,0.15179711029936843,0.14826829819632856,0.14805653849392303,0.15112388162377882,0.18154853755894648,0.1411228478319907,0.1585643683084136,0.16999203298404986,0.1675053546792767,0.19100695147683394,0.1995311412271035,0.2017670668552494,0.19510414877852864,0.1638191884941645,0.19075830412253897,0.24367581327579063,0.21891659627309543,0.19115580740968935,0.23906419530244383,0.23401540801589485,0.14330267624112578,0.14280600855698525,0.15194939325994009,0.16137939313054306,0.16796342291694677,0.16573289412470463,0.2257318526952087,0.2650465806441533,0.2616117020813002,0.24309933819750296,0.29643653879252524,0.32453937554020984,0.2740978671011395,0.34617946658178095,0.3153215110818805,0.1604556773136652,0.16996923074045817,0.1677571413662092,0.16639853012426425,0.17670600101602396,0.17577731636942528,0.2502101378596487,0.254736872,0.24940481670460707,0.3061448173104005,0.29417575655769035,0.29972243404851984,0.30395774325643504,0.14254252791488525,0.16384191098483827,0.16030718473091016,0.18285880236255428,0.17913273396912927,0.2394047766428062,0.23592745923094635,0.26177399390851935
apple,0.15856627113829144,0.15405424448293026,0.15400290515962167,0.15178853443496218,0.1729009438267837,0.16571955289484358,0.17051372157130854,0.1510910331101664,0.15128042239088804,0.16057676432071075,0.17817060243893348,0.1722883704272542,0.18481187995082848,0.17586053854725484,0.15321217711743199,0.1539255237556681,0.14753318944246172,0.1550906755458526,0.1617260379194455,0.1749076070549422,0.1588002834945614,0.16298114438107925,0.15882787385372243,0.1572748226909291,0.20842408555103878,0.19429950455609682,0.18852294173140294,0.18816962353792321,0.1885894112224414,0.18322246299630376,0.24296925035904768,0.2468959156695193,0.21138998686166832,0.27854430871862174,0.25427167387539895,0.1677419428915754,0.16292018935534475,0.17974370196612763,0.18353116151681748,0.1817615846452768,0.17709788489939038,0.19590052366914673,0.2146928659191098,0.20253964118599324,0.22572402794202873,0.27881362073676585,0.30410169813273014,0.28485847595626573,0.39125121,0.35367210924704096,0.17571378039136384,0.1734512977912452,0.16864853448166464,0.1913100084903613,0.18287383880526756,0.17533836821908075,0.1974703785337191,0.18692492365272365,0.17839903428686496,0.31090071116234125,0.2836476970515861,0.3079244162861744,0.33255506377682537,0.15311057138563952,0.1612210567686763,0.16025870987267546,0.17533131637594002,0.17019064521655042,0.18067271904139462,0.17294376148167995,0.24969690783800794
banana,0.15382136717045045,0.14624165435687242,0.14624165435687242,0.14624165435687242,0.16800636824590456,0.1544597334708332,0.17255927342629676,0.13871511134995443,0.1534742826970856,0.1385624620111934,0.18408414411106114,0.16313617735952976,0.17022959664480028,0.17304248865210503,0.14788927525087228,0.15593976059652934,0.1631138140203849,0.1442526632365628,0.16230243950089449,0.14374912575467244,0.19139689203488555,0.19880062222276523,0.1638899138354466,0.1621166295725885,0.1441963614933906,0.1516814558533476,0.15245003782260383,0.1650404413214543,0.18537243657314337,0.16460174798523525,0.18262622761655709,0.15906413976812597,0.1575731492034891,0.1532580194672287,0.1488599266955908,0.2320726472668832,0.22650567523797457,0.2168160504149813,0.2393540850622874,0.2464114480347252,0.24000117690238207,0.2445317450802441,0.31704832195553423,0.4364764338510023,0.304385029,0.2342147565150356,0.28563735125421974,0.27552688479730647,0.18410862784333898,0.1445230136459569,0.21769555681020233,0.22158116367096065,0.217430144,0.3261684996395267,0.33124903771717545,0.3227700356024613,0.45687806,0.45767008695872957,0.44340228562831957,0.3233275899428565,0.32515126844313375,0.2514927537983326,0.14450249116234462,0.18218968932574356,0.24254156013370132,0.24106709374069293,0.3023071383786676,0.29581979472671455,0.4214510671883383,0.4099016832903644,0.28166328610657876
beach,0.25699819482097574,0.24967310006952873,0.2501609132603545,0.24901996471144033,0.31246919941568235,0.2606293628608657,0.27118902880687706,0.13839333394154665,0.13999148178421753,0.16869834129420405,0.3459894768521343,0.282871689,0.33772482307086593,0.33909831792461503,0.15802564271514424,0.17407139134271665,0.17255523915424134,0.14516235732209004,0.14925422273450878,0.17009606872765073,0.16559720148068038,0.1922877864571537,0.28783320218927916,0.28527104032665007,0.14130461493988794,0.18499625579215326,0.19549157319279675,0.19722266108174405,0.17953237080132792,0.19583104635522616,0.19058334548652967,0.2156084254654957,0.21413084131631083,0.19321795760784183,0.17423352635571945,0.15828454616970636,0.15747821577455545,0.17195656281938207,0.18905594940163833,0.18985131721105902,0.18398570330837474,0.2109148909015777,0.2776744774358543,0.25960992998972704,0.3010653574505868,0.20700633848624403,0.28020686424888447,0.30673393005294153,0.19654613823654482,0.14972938994805715,0.1578380558071786,0.15752821618092402,0.1552268961079769,0.17441748525625414,0.17427599857860968,0.17023209204250012,0.22714610946294977,0.22586819741203634,0.217196426,0.2751224281649517,0.2735394002356425,0.2376997695888562,0.14709828325102786,0.15318504578259998,0.15419434094230422,0.15400326272332732,0.16335432615698775,0.16191554757566387,0.1692039090214384,0.16633072203840665,0.21907830003694415
bear,0.1399621826416327,0.13989204368766392,0.13989204368766392,0.13988328309465017,0.15045275774216085,0.14150171913869164,0.14191165310364504,0.1369946634041256,0.13719229070627184,0.1436804452448656,0.15318111077644128,0.1841203515288539,0.18625415228395095,0.17189644202883192,0.1536376776741214,0.1557289926768378,0.14890008938843513,0.1382235368892237,0.13864251199195488,0.14375058419883438,0.1765254364216126,0.21156674294760472,0.17218710871850698,0.15711720650332323,0.19771021775296158,0.19270206386530164,0.1867477578689142,0.17438842057205425,0.14301256288173467,0.17029692143884925,0.3572959724034768,0.20492324142184812,0.18088386069999637,0.15650560331237243,0.1442227633691454,0.18078368695151456,0.17482288138925023,0.20804583366352697,0.21557205495647672,0.20137788667740772,0.19084248499946765,0.46209566663426205,0.4848429075972228,0.27543251336426217,0.251301479,0.47087525100544375,0.483525306,0.2856960515984918,0.2312013971206852,0.13952703740013694,0.18132655651045615,0.18008200116286865,0.17516086488365573,0.21314128299281526,0.20272880412171215,0.19081631484011902,0.29894687877425413,0.2589102510111803,0.21952145038990664,0.3005465845900335,0.27156554033210967,0.20046278783423763,0.14044138687435723,0.16873642298173952,0.17223093565215022,0.1713078483298745,0.18023970207388704,0.17696640912548398,0.17774412915530108,0.16862059837127685,0.1897842004930612
below,0.17388798453862048,0.1727560373386492,0.17278789242427187,0.17198514941143953,0.2015615648229227,0.17561810700248334,0.1759094804466547,0.1412832334801905,0.1414924845613651,0.14494709663862443,0.23565931821827538,0.19619388852113223,0.2072931789832938,0.2058301929029677,0.1600535756370723,0.1663629135706482,0.1653091193948923,0.1424058337651824,0.14279800607597087,0.1468336144537405,0.1747648168383803,0.1980391949459016,0.20508325223317547,0.2003550522705334,0.1711248308352614,0.20016607873013165,0.2127481315236343,0.2634476401660652,0.3162273381684082,0.25980741463527196,0.1891751929648964,0.16995741113623392,0.16645947414066076,0.1751226028423093,0.15270634003392594,0.18023874713459279,0.16635012319839992,0.1997048785797331,0.22411425539143817,0.27220064724922327,0.2543562194808999,0.20398411287153786,0.24148914622840248,0.2620298677708988,0.27404793128013655,0.21660675108924504,0.24105369544721605,0.22839847829515803,0.1932128010818642,0.15714115412918955,0.18303743691360366,0.18318037087784952,0.16905875139231347,0.1892890987488933,0.19049564553239623,0.17650261110100243,0.19513584698485517,0.1950092236776128,0.17660862003007025,0.21454665971858974,0.21019626503641542,0.1973849387880417,0.15524014154628013,0.16315210125258225,0.17544145643661144,0.16395430848065848,0.18333761023718562,0.16999972094067212,0.16244615339624455,0.15954153083267464,0.17379832818491533
beside,0.1368662721947915,0.136658022,0.13667785563187707,0.136658022,0.1418501847698809,0.13955555380164839,0.1413863842016484,0.13900690850924408,0.13920524173336452,0.1533161057141816,0.1572751292661789,0.1473410198815927,0.14900405972341565,0.1457823326709324,0.14328909686445904,0.1508918850149681,0.1487427535170275,0.13910209175507668,0.14376819437183827,0.1536830221788044,0.1538204297230572,0.17367273884881396,0.15452178062471952,0.14654111602424635,0.18748979438552202,0.33748004977443574,0.3310354124951795,0.3572957449772076,0.26895908338241514,0.3382460675480085,0.18573008265456795,0.18052056318958964,0.16905748232733622,0.17922121332507132,0.1696389300592943,0.16276193685852128,0.15576393323264945,0.21233121380505016,0.2440241866314042,0.26083546506474736,0.237671354,0.20033060608999256,0.24364584193745498,0.2539612112091571,0.26807249018310136,0.20106026037802258,0.24513201563786846,0.24221203421153914,0.18523480512795162,0.1523242041961123,0.16556408428390626,0.159239929,0.15330656139700571,0.17212234617749456,0.16468969632000355,0.15753033762762778,0.19323802882121596,0.18759497639175646,0.17649745885567236,0.23382929129135674,0.21532904450595028,0.2198228749150256,0.155858627,0.15270177032652726,0.15333967479708435,0.15314204503145687,0.1632299324507431,0.15794430772818177,0.166382091,0.16196788870825002,0.19275968829415027
bird,0.18785622414783007,0.1824448847475539,0.18264319292476972,0.17855827397395746,0.2056574652678175,0.19181608983366696,0.20012832473701017,0.14450994387924568,0.14577432921843153,0.15903965829986574,0.21298509172200933,0.21010436394300136,0.21776059763413988,0.2108727245999094,0.15963004698117933,0.1692809088945523,0.16570958198829555,0.14185450177105768,0.14936870324162896,0.15900577487956205,0.20058559132368503,0.21061257194572808,0.19484087118750343,0.19073149665780167,0.15302755570435753,0.21193668578497063,0.22115305087038814,0.2303222603315892,0.21019120520397327,0.2271310298893601,0.19583521608963872,0.18868788579497373,0.1838451783516698,0.1788333710409476,0.16404077949691576,0.22679890006024592,0.2235924160483176,0.22815259788930664,0.27465122195485553,0.2795428402784817,0.2700253642594289,0.24934106795685196,0.3040710398636961,0.2927773352291565,0.29543082522683267,0.24282240438982447,0.27571311,0.27328773900106856,0.1818247880974334,0.14984728628520602,0.22838994546713975,0.22838405090622116,0.22648638237792326,0.24870803196492078,0.24781016152557625,0.24357355147058965,0.2373895421858427,0.23802094372422175,0.2237703878951857,0.22407742463479394,0.22445819367857453,0.1947804808238228,0.1519253266719548,0.19191390202439504,0.20757595448374377,0.2070837054783087,0.21854020349537476,0.21693580080290528,0.18171875583542893,0.17692307730457565,0.1916096229967474
blizzard,0.28561811507602264,0.2854891774872428,0.2854891774872428,0.2854807699687243,0.33149451005157216,0.2870154313196899,0.28895600231465296,0.13925039680067525,0.13930241039872893,0.14645877362218104,0.3750136184380994,0.3431090473595629,0.46368684040315683,0.4817667658813694,0.15774975117965853,0.18181462047156233,0.1830056028605483,0.14017949557516088,0.14021625656571227,0.14645877362218104,0.13634612226110407,0.14008494735720595,0.2883175302343635,0.2880044040315789,0.15856047483401225,0.27876229669281366,0.3167714657025878,0.3132142637084756,0.22227005747278597,0.30575406016198303,0.15147523,0.1597745491230312,0.1541875669450732,0.1545865531590195,0.14940660950644388,0.13634317671095433,0.1363326945832151,0.15569703138613208,0.1707582847154279,0.16832725988445912,0.1651311368581627,0.1576236894435672,0.16907882784247932,0.16435971949572048,0.161194736,0.14702504363604535,0.1480593887995524,0.14231431042522474,0.1412606099810333,0.13896283258664174,0.13633676199042982,0.13633676199042982,0.13633466011080017,0.13671202144039285,0.1363710993829795,0.1363585153756106,0.13779830199901147,0.13686082998139718,0.13658642141606356,0.14053542913447092,0.1379484997131697,0.13985313090295837,0.13738347074098367,0.13632428706469657,0.13633258550157948,0.13633258550157948,0.1363493732682076,0.13634727138857797,0.13642027300952447,0.13635206243248746,0.13661841102697567
blueberry,0.30612299090743367,0.3046788012631784,0.3046788012631784,0.304035563,0.44221150559080963,0.38007480505720925,0.39223943276518497,0.16198353554795675,0.16320519830815758,0.15010146519571582,0.3882459993396857,0.4390595418234368,0.4651615134248245,0.42425957980267365,0.21103926146204025,0.2180067164687345,0.19510683580504742,0.16886325857263984,0.1730394188982428,0.15002274345922484,0.17233401613000027,0.20829480134394057,0.3336393252722957,0.3230949437766078,0.16750974512232794,0.1705496384445362,0.17381927966014946,0.17825476219577163,0.17846768353542522,0.17476932768927383,0.18680244416681047,0.20245016397196886,0.19101190151663644,0.16482304637604547,0.15106257164748416,0.19657910465625852,0.19068384062160157,0.2030204241951675,0.21385377164760563,0.2134272352995041,0.20506172922911192,0.19688110888360152,0.21539139034244018,0.20380721278176667,0.1944019473573556,0.16483837689063754,0.1762192599496083,0.17523259065032912,0.14844901274694083,0.1389940403205164,0.19724643524692034,0.1951367710188841,0.19012596159261125,0.2057477778181588,0.20204764435165376,0.19553905185368975,0.17021808614299833,0.16776769362218916,0.16241162910056514,0.15591574579454773,0.15491208651553626,0.15011265564577198,0.13714075839857093,0.17081639096129203,0.17649939049869684,0.17535750973168307,0.1877375499164624,0.18459160171793826,0.1566411990360055,0.1535199239297933,0.14880784124740262
boat,0.2683878652216561,0.26589541418386653,0.26589541418386653,0.26589371,0.33919019302324455,0.2800547284034965,0.2829495111489597,0.1388477216168685,0.13921502706507338,0.14192253295522458,0.37533566791554435,0.3529004679558012,0.38448658526396345,0.3641271206498137,0.15370451575640237,0.15673673132792226,0.1521605790374811,0.13893877311722044,0.13932940100946106,0.1424954203462399,0.1559248398935592,0.2028229356509039,0.31890628650271713,0.3046226719875997,0.187164597,0.20436579079736894,0.20910811029626572,0.21366501367394006,0.18482191642222295,0.21102725337276834,0.2047078365915768,0.18337168672623594,0.17694994990878765,0.14958949656434575,0.1439515727791276,0.1458319247911525,0.14348208769812698,0.16272939973956782,0.16649953671165507,0.16430090721369164,0.15794881530456767,0.22984024247083656,0.2519719174228138,0.21669232212008965,0.2108048350370188,0.21887302779838347,0.22921319131997986,0.2045645913110437,0.1643337417190071,0.14300502343716676,0.1442685949875335,0.14413743510545352,0.1436403271922058,0.1567868586462204,0.15372550789822487,0.1490328609800993,0.18660768665954355,0.17641006740992174,0.16634118878176354,0.19829793766873655,0.18659361757342338,0.17547255853030996,0.1427424446012201,0.14246349172279835,0.14284281924804926,0.14283000108369012,0.14768765642911827,0.14672025842088932,0.1546879733265539,0.15207347955481068,0.16701275223354775
car,0.19899352746209314,0.19397487510416536,0.19397487510416536,0.19389360259259256,0.22979407711524805,0.21250829685277425,0.2127051692251672,0.1463402336653231,0.14629954854532307,0.14383486854844516,0.25155726099226894,0.28282685093467586,0.29466356654707876,0.2668300916049129,0.19194126964026026,0.18244298465901088,0.15470637708954696,0.14574543387485728,0.1459036597363629,0.14989216916077047,0.14021306886024926,0.15840574028906562,0.2097545716979076,0.20773310766857275,0.30977502439478777,0.317479727,0.311726461,0.27596624155800586,0.17969511791700107,0.26003932411007213,0.2258655144752015,0.20371045897817092,0.17502497622469004,0.1838997288876216,0.16875844782734614,0.1418318089374669,0.1406532153695298,0.17672074628048887,0.17983968696995986,0.16523695110432207,0.15752232680819217,0.21037984628140002,0.21411477722350197,0.1819219089511344,0.1831265568607448,0.2216615951839317,0.2213102002273813,0.18431771645912137,0.21101221372420315,0.1939348795081881,0.14280899829181568,0.14107228168617036,0.13951499883233595,0.14672128305416993,0.14281401550831793,0.14093452105126297,0.15149623405217488,0.14689849819222311,0.143602961,0.17985630304838848,0.1678975177733757,0.18447455764418905,0.18583219917730087,0.13870580693497941,0.1390917679176633,0.1390917679176633,0.14088991053734212,0.13922645885163068,0.14330882984957066,0.1412740074344997,0.15981922857705058
carrot,0.16849705624898897,0.14565213241806205,0.14565213241806205,0.136658022,0.15109391240855455,0.14617176347672525,0.15161122336686586,0.15233596381628883,0.16119496454658364,0.14678865288522253,0.14281446325676922,0.14539245379971094,0.14655979875310873,0.1416903214691955,0.1460447909364337,0.14879148699400654,0.1436512151131837,0.145895591,0.1513091823462988,0.16963304748023944,0.1614986396360467,0.1589584438716751,0.14012708046599298,0.13926581317238568,0.1508819052642523,0.15228371780635583,0.14908254128448914,0.14855435998644903,0.1527642134720926,0.1468908099466538,0.18227743509163713,0.16235311085768123,0.14801890856352312,0.17765068366474288,0.19037472694676422,0.17845264317136014,0.17460028528420155,0.17528481870328802,0.18573264039800608,0.18373514149801853,0.1794412554638741,0.19667925534775596,0.224074424,0.20619215159390183,0.3662894911316569,0.25098076743961345,0.2916735213623387,0.4215490956162586,0.3910511577328958,0.3551667285221335,0.19737806067074753,0.19339967662757326,0.18544209604970235,0.19489942954973152,0.1878504494731554,0.18224324772947262,0.2738039785787427,0.2644932278749149,0.25463604135621704,0.5205930573180607,0.4982330264667742,0.5064911573351073,0.36829894592891665,0.15521816983777317,0.17330990835894083,0.17142686015818778,0.21079543474376178,0.2017339340268496,0.26097342475407087,0.24955820575954865,0.48565943519023663
celery,0.15208699612150992,0.14576488068946994,0.14591273446965725,0.14576042496987654,0.1738438115200946,0.16210702919865047,0.17183292117064017,0.14015176669790583,0.146221414,0.14263479382896974,0.16708388849345687,0.15966402472375119,0.16580271386907297,0.1656199260776481,0.15168903935820305,0.15672087646255323,0.15539403986746297,0.15202395009572975,0.16171150151896116,0.14872470138824676,0.35902042716293603,0.35878062194379257,0.16063681572904934,0.15731595118858194,0.14222606926482115,0.1432658952331191,0.14479098385922382,0.1521855928301926,0.16833981747874355,0.15159369874713977,0.17376123968709614,0.16055200519607166,0.15633326874890238,0.1705288882340474,0.1499965081750593,0.46022405353681356,0.4405919919276558,0.45228377581060725,0.5156876522807472,0.5047797469463444,0.47501644583750013,0.28647891931134184,0.34942322817557664,0.33765371894298896,0.28501378847005365,0.20012891073056632,0.21362704090497805,0.18830154110595396,0.17445323995739107,0.14335077163545754,0.49234882065157687,0.4816946974605852,0.45646828326238875,0.5353932247580874,0.5177238993622215,0.4874086975343325,0.37619645423373405,0.35667902744083846,0.3219904312639637,0.22851193188271382,0.22139584063923753,0.17225605216720483,0.1377742993990914,0.36837694781227354,0.43432712908180765,0.42579062803900336,0.4810361989176694,0.45866081620941296,0.31412176748760984,0.28808577217576414,0.19613632839949374
cherry,0.14400359545354688,0.1402202329491069,0.14037817470479372,0.1365817720738059,0.1531150262142371,0.14994586720747616,0.15100924534104207,0.1525269841671646,0.1532967712702039,0.18714711877796472,0.14611138559784403,0.15114467014567176,0.15279257532070567,0.1482465294137616,0.16564933901474646,0.1677761827265371,0.15720436908587693,0.18089488578370583,0.18678826950639274,0.21191264477959354,0.17924802006570595,0.18983354982610814,0.1476374071558565,0.14567551761256456,0.20378396570478866,0.20371728785601018,0.19951443956627685,0.19728990823739687,0.2345424453104147,0.19070946943151557,0.2859837820803591,0.3035443548799636,0.25447188753980193,0.33309232133385713,0.2909438107448622,0.2040490518427544,0.1934779078800654,0.21682615510945968,0.22864930454001128,0.23154251637773612,0.22040726592878415,0.21055944577861613,0.222801258,0.20013513200850314,0.19298564658226403,0.29675917558007797,0.2937400666081106,0.21849263886768616,0.3873998846074306,0.3377831719966919,0.21494434788066547,0.20803936525677147,0.1956748430075195,0.23139184300523657,0.21985378704014408,0.20748156487580866,0.19941979649667788,0.18511993812059468,0.17371551217692177,0.24397113926293726,0.2049286155995199,0.2627297407283674,0.31119755824454726,0.17913856409233547,0.1916277865655323,0.18575530429979262,0.2041461796174488,0.19264851379639528,0.1716984068592112,0.1588483315136945,0.1699498141709973
comfort,0.19135496658652337,0.19334750915358484,0.19284185,0.18577232688858317,0.21953310790569766,0.20520624007983104,0.21099165924535898,0.15848837858516351,0.1602189926409357,0.18030524285886956,0.2239824231623341,0.23734649333849195,0.2663889996514935,0.26134929960925374,0.1886712352066145,0.20718004662865377,0.19614760843667842,0.1625592348598069,0.16606495637213264,0.18079336438248297,0.1769360311401092,0.197676879,0.2147798635422758,0.2097032285556648,0.1757908133716387,0.21504620337246205,0.22789825821739515,0.24573722257337102,0.2544907012598409,0.2402139904464198,0.22386708283004014,0.2181425941600451,0.20624659345078253,0.19482055308985433,0.18342082211872862,0.18826267321366907,0.18565089120023417,0.2002829837518778,0.21757888159259903,0.22979089799778268,0.22454213450570432,0.22756900486082327,0.24961307817323905,0.21719303,0.21375023982458313,0.22873073282455642,0.24007228789959675,0.1974634194425714,0.18778540237436464,0.16397047187799238,0.18594271702912465,0.1856926823935265,0.18436653805837014,0.20148493833321107,0.19779154450080158,0.19443475869363933,0.18148080216711746,0.17844119024021998,0.1720772080487785,0.1936001718344235,0.19057262343820133,0.1707486080518258,0.15449859725468948,0.1752316338071978,0.1856451441107061,0.184811263,0.1853475583984019,0.18432096234962564,0.15640664578506078,0.15578520656861714,0.16426038193291168
